ballNumber,inningsRuns,inningsWickets,overNumber,totalRuns
1,1,0,1,1
2,2,0,1,1
3,6,0,1,4
4,6,1,1,0
5,6,1,1,0
6,9,1,1,3
7,13,1,1,4
8,13,1,1,0
1,13,1,2,0
2,14,1,2,1
3,18,1,2,4
4,18,1,2,0
5,18,1,2,0
6,18,1,2,0
1,18,1,3,0
2,19,1,3,1
3,21,1,3,2
4,21,1,3,0
5,25,1,3,4
6,25,1,3,0
1,26,1,4,1
2,26,1,4,0
3,26,2,4,0
4,26,2,4,0
5,30,2,4,4
6,30,2,4,0
1,52,5,9,1
2,53,5,9,1
3,54,5,9,1
4,55,5,9,1
5,57,5,9,2
6,57,5,9,0
1,61,5,10,4
2,62,5,10,1
3,63,5,10,1
4,63,5,10,0
5,64,5,10,1
6,65,5,10,1
1,31,2,5,1
2,32,2,5,1
3,33,2,5,1
4,33,2,5,0
5,35,2,5,2
6,36,2,5,1
1,37,2,6,1
2,37,2,6,0
3,37,3,6,0
4,39,3,6,2
5,39,4,6,0
6,40,4,6,1
1,44,4,7,4
2,45,4,7,1
3,49,4,7,4
4,49,4,7,0
5,49,5,7,0
6,49,5,7,0
1,49,5,8,0
2,49,5,8,0
3,49,5,8,0
4,50,5,8,1
5,51,5,8,1
6,51,5,8,0
1,0,0,1,0
2,1,0,1,1
3,1,0,1,0
4,1,0,1,0
5,1,0,1,0
6,2,0,1,1
1,3,0,2,1
2,3,0,2,0
3,5,0,2,2
4,5,1,2,0
5,5,1,2,0
6,5,1,2,0
1,119,5,15,0
2,119,5,15,0
3,120,5,15,1
4,120,6,15,0
5,121,6,15,1
6,121,6,15,0
1,125,6,16,4
2,126,6,16,1
3,127,6,16,1
4,127,6,16,0
5,127,7,16,0
6,127,7,16,0
1,66,5,11,1
2,66,5,11,0
3,68,5,11,2
4,68,5,11,0
5,69,5,11,1
6,70,5,11,1
1,70,5,12,0
2,71,5,12,1
3,72,5,12,1
4,73,5,12,1
5,73,5,12,0
6,73,5,12,0
1,74,5,13,1
2,76,5,13,2
3,82,5,13,6
4,86,5,13,4
5,90,5,13,4
6,91,5,13,1
1,97,5,14,6
2,98,5,14,1
3,104,5,14,6
4,105,5,14,1
5,106,5,14,1
6,111,5,14,5
7,117,5,14,6
8,119,5,14,2
1,140,9,19,0
2,140,9,19,0
3,142,9,19,2
4,143,9,19,1
5,144,9,19,1
6,145,9,19,1
1,148,9,20,3
2,149,9,20,1
3,150,9,20,1
4,152,9,20,2
5,153,9,20,1
6,155,9,20,2
1,129,7,17,2
2,130,7,17,1
3,130,7,17,0
4,130,7,17,0
5,131,7,17,1
6,131,8,17,0
1,132,8,18,1
2,134,8,18,2
3,135,8,18,1
4,136,8,18,1
5,140,8,18,4
6,140,9,18,0
1,9,1,3,4
2,9,2,3,0
3,9,3,3,0
4,13,3,3,4
5,13,3,3,0
6,13,3,3,0
1,13,3,4,0
2,13,3,4,0
3,13,3,4,0
4,13,3,4,0
5,13,3,4,0
6,13,3,4,0
1,65,5,13,1
2,65,5,13,0
3,65,5,13,0
4,65,5,13,0
5,66,5,13,1
6,70,5,13,4
1,70,5,14,0
2,76,5,14,6
3,77,5,14,1
4,78,5,14,1
5,78,5,14,0
6,79,5,14,1
1,32,5,9,0
2,32,5,9,0
3,35,5,9,3
4,35,5,9,0
5,41,5,9,6
6,41,5,9,0
1,41,5,10,0
2,43,5,10,2
3,44,5,10,1
4,44,5,10,0
5,45,5,10,1
6,46,5,10,1
1,85,5,15,6
2,85,5,15,0
3,85,5,15,0
4,86,5,15,1
5,87,5,15,1
6,88,5,15,1
1,88,5,16,0
2,90,5,16,2
3,96,5,16,6
4,100,5,16,4
5,104,5,16,4
6,105,5,16,1
7,106,5,16,1
1,113,7,19,1
2,113,7,19,0
3,114,7,19,1
4,114,8,19,0
5,115,8,19,1
6,115,9,19,0
1,115,9,20,0
2,115,9,20,0
3,116,9,20,1
4,117,9,20,1
5,117,9,20,0
6,117,10,20,0
1,106,6,17,0
2,106,6,17,0
3,106,6,17,0
4,109,6,17,3
5,109,6,17,0
6,109,6,17,0
1,109,6,18,0
2,110,6,18,1
3,110,7,18,0
4,110,7,18,0
5,111,7,18,1
6,112,7,18,1
1,22,3,7,0
2,24,3,7,2
3,28,3,7,4
4,28,4,7,0
5,28,4,7,0
6,29,4,7,1
1,30,4,8,1
2,31,4,8,1
3,31,5,8,0
4,32,5,8,1
5,32,5,8,0
6,32,5,8,0
1,13,3,5,0
2,13,3,5,0
3,13,3,5,0
4,17,3,5,4
5,18,3,5,1
6,19,3,5,1
1,19,3,6,0
2,19,3,6,0
3,20,3,6,1
4,20,3,6,0
5,21,3,6,1
6,22,3,6,1
1,47,5,11,1
2,47,5,11,0
3,48,5,11,1
4,52,5,11,4
5,52,5,11,0
6,53,5,11,1
1,59,5,12,6
2,61,5,12,2
3,61,5,12,0
4,62,5,12,1
5,63,5,12,1
6,64,5,12,1
7,64,5,12,0
